"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1284","updateUserPasswordWithAuthorization()","","2026-08-25","passed","2026-08-25","","praktikum.UpdateUserTest","praktikum.UpdateUserTest","updateUserPasswordWithAuthorization"
"","7722","createOrderWithAuthorizationAndIngredients()","","2026-08-25","passed","2026-08-25","","praktikum.CreateOrderTest","praktikum.CreateOrderTest","createOrderWithAuthorizationAndIngredients"
"","994","updateUserEmailWithoutAuthorization()","","2026-08-25","passed","2026-08-25","","praktikum.UpdateUserTest","praktikum.UpdateUserTest","updateUserEmailWithoutAuthorization"
"","963","loginExistingUser()","","2026-08-25","passed","2026-08-25","","praktikum.LoginUserTest","praktikum.LoginUserTest","loginExistingUser"
"","919","createUserThatAlreadyExists()","","2026-08-25","passed","2026-08-25","","praktikum.CreateUserTest","praktikum.CreateUserTest","createUserThatAlreadyExists"
"","223","createOrderWithWrongIngredientHash()","","2026-08-25","passed","2026-08-25","","praktikum.CreateOrderTest","praktikum.CreateOrderTest","createOrderWithWrongIngredientHash"
"","239","loginWithWrongEmailAndPassword()","","2026-08-25","passed","2026-08-25","","praktikum.LoginUserTest","praktikum.LoginUserTest","loginWithWrongEmailAndPassword"
"","2111","getOrdersAuthorizedUser()","","2026-08-25","passed","2026-08-25","","praktikum.GetUserOrdersTest","praktikum.GetUserOrdersTest","getOrdersAuthorizedUser"
"","821","updateUserEmailWithAuthorization()","","2026-08-25","passed","2026-08-25","","praktikum.UpdateUserTest","praktikum.UpdateUserTest","updateUserEmailWithAuthorization"
"","229","getOrdersUnauthorizedUser()","","2026-08-25","passed","2026-08-25","","praktikum.GetUserOrdersTest","praktikum.GetUserOrdersTest","getOrdersUnauthorizedUser"
"","484","createOrderWithoutAuthorizationAndWithIngredients()","","2026-08-25","passed","2026-08-25","","praktikum.CreateOrderTest","praktikum.CreateOrderTest","createOrderWithoutAuthorizationAndWithIngredients"
"","237","createUserWithoutPassword()","","2026-08-25","passed","2026-08-25","","praktikum.CreateUserTest","praktikum.CreateUserTest","createUserWithoutPassword"
"","236","createUserWithoutName()","","2026-08-25","passed","2026-08-25","","praktikum.CreateUserTest","praktikum.CreateUserTest","createUserWithoutName"
"","843","createOrderWithoutIngredients()","","2026-08-25","passed","2026-08-25","","praktikum.CreateOrderTest","praktikum.CreateOrderTest","createOrderWithoutIngredients"
"","630","createUniqueUser()","","2026-08-25","passed","2026-08-25","","praktikum.CreateUserTest","praktikum.CreateUserTest","createUniqueUser"
"","854","updateUserNameWithAuthorization()","","2026-08-25","passed","2026-08-25","","praktikum.UpdateUserTest","praktikum.UpdateUserTest","updateUserNameWithAuthorization"
"","821","updateUserPasswordWithoutAuthorization()","","2026-08-25","passed","2026-08-25","","praktikum.UpdateUserTest","praktikum.UpdateUserTest","updateUserPasswordWithoutAuthorization"
"","227","createUserWithoutEmail()","","2026-08-25","passed","2026-08-25","","praktikum.CreateUserTest","praktikum.CreateUserTest","createUserWithoutEmail"
"","826","updateUserNameWithoutAuthorization()","","2026-08-25","passed","2026-08-25","","praktikum.UpdateUserTest","praktikum.UpdateUserTest","updateUserNameWithoutAuthorization"
